filepath,label,esc_category,fold,label_id
data/curated/normal_operation/5-234923-A-32.wav,normal_operation,keyboard_typing,5,3
data/curated/fluid_leak/5-194892-A-10.wav,fluid_leak,rain,5,1
data/curated/normal_operation/3-155570-A-32.wav,normal_operation,keyboard_typing,3,3
data/curated/electrical_fault/4-111671-B-42.wav,electrical_fault,siren,4,0
data/curated/fluid_leak/4-167063-B-11.wav,fluid_leak,sea_waves,4,1
data/curated/normal_operation/5-253101-B-49.wav,normal_operation,hand_saw,5,3
data/curated/fluid_leak/1-50060-A-10.wav,fluid_leak,rain,1,1
data/curated/fluid_leak/2-125966-A-11.wav,fluid_leak,sea_waves,2,1
data/curated/normal_operation/4-184575-A-0.wav,normal_operation,dog,4,3
data/curated/fluid_leak/4-161127-A-10.wav,fluid_leak,rain,4,1
data/curated/mechanical_fault/5-216370-A-41.wav,mechanical_fault,chainsaw,5,2
data/curated/fluid_leak/2-102852-A-11.wav,fluid_leak,sea_waves,2,1
data/curated/normal_operation/1-7974-A-49.wav,normal_operation,hand_saw,1,3
data/curated/electrical_fault/5-209833-A-38.wav,electrical_fault,clock_tick,5,0
data/curated/fluid_leak/5-219379-B-11.wav,fluid_leak,sea_waves,5,1
data/curated/mechanical_fault/2-68391-B-41.wav,mechanical_fault,chainsaw,2,2
data/curated/fluid_leak/4-163264-A-10.wav,fluid_leak,rain,4,1
data/curated/normal_operation/3-102583-B-49.wav,normal_operation,hand_saw,3,3
data/curated/mechanical_fault/1-19898-B-41.wav,mechanical_fault,chainsaw,1,2
data/curated/fluid_leak/3-156907-A-15.wav,fluid_leak,water_drops,3,1
data/curated/fluid_leak/5-219379-C-11.wav,fluid_leak,sea_waves,5,1
data/curated/electrical_fault/1-76831-C-42.wav,electrical_fault,siren,1,0
data/curated/normal_operation/5-253101-A-49.wav,normal_operation,hand_saw,5,3
data/curated/fluid_leak/3-157615-A-10.wav,fluid_leak,rain,3,1
data/curated/fluid_leak/2-132157-A-11.wav,fluid_leak,sea_waves,2,1
data/curated/electrical_fault/5-117118-A-42.wav,electrical_fault,siren,5,0
data/curated/electrical_fault/3-51909-A-42.wav,electrical_fault,siren,3,0
data/curated/electrical_fault/4-90014-A-42.wav,electrical_fault,siren,4,0
data/curated/normal_operation/3-132830-A-32.wav,normal_operation,keyboard_typing,3,3
data/curated/electrical_fault/4-111671-A-42.wav,electrical_fault,siren,4,0
data/curated/electrical_fault/3-51731-A-42.wav,electrical_fault,siren,3,0
data/curated/fluid_leak/4-182613-B-11.wav,fluid_leak,sea_waves,4,1
data/curated/normal_operation/4-183992-A-0.wav,normal_operation,dog,4,3
data/curated/normal_operation/4-172742-A-32.wav,normal_operation,keyboard_typing,4,3
data/curated/fluid_leak/2-101676-A-10.wav,fluid_leak,rain,2,1
data/curated/normal_operation/5-216131-A-32.wav,normal_operation,keyboard_typing,5,3
data/curated/normal_operation/2-60180-B-49.wav,normal_operation,hand_saw,2,3
data/curated/mechanical_fault/5-240671-A-44.wav,mechanical_fault,engine,5,2
data/curated/normal_operation/1-46353-A-49.wav,normal_operation,hand_saw,1,3
data/curated/electrical_fault/1-21934-A-38.wav,electrical_fault,clock_tick,1,0
data/curated/fluid_leak/4-164206-A-10.wav,fluid_leak,rain,4,1
data/curated/fluid_leak/1-29561-A-10.wav,fluid_leak,rain,1,1
data/curated/mechanical_fault/1-64398-A-41.wav,mechanical_fault,chainsaw,1,2
data/curated/mechanical_fault/4-186962-A-44.wav,mechanical_fault,engine,4,2
data/curated/normal_operation/2-118817-A-32.wav,normal_operation,keyboard_typing,2,3
data/curated/normal_operation/4-172180-A-32.wav,normal_operation,keyboard_typing,4,3
data/curated/electrical_fault/3-62878-A-42.wav,electrical_fault,siren,3,0
data/curated/mechanical_fault/4-157611-A-41.wav,mechanical_fault,chainsaw,4,2
data/curated/normal_operation/3-157695-A-0.wav,normal_operation,dog,3,3
data/curated/mechanical_fault/4-186936-A-44.wav,mechanical_fault,engine,4,2
data/curated/fluid_leak/4-212604-A-15.wav,fluid_leak,water_drops,4,1
data/curated/normal_operation/2-118459-A-32.wav,normal_operation,keyboard_typing,2,3
data/curated/mechanical_fault/2-106015-A-44.wav,mechanical_fault,engine,2,2
data/curated/fluid_leak/2-139749-A-15.wav,fluid_leak,water_drops,2,1
data/curated/normal_operation/3-170015-A-0.wav,normal_operation,dog,3,3
data/curated/normal_operation/4-182395-A-0.wav,normal_operation,dog,4,3
data/curated/normal_operation/1-59513-A-0.wav,normal_operation,dog,1,3
data/curated/fluid_leak/4-212604-C-15.wav,fluid_leak,water_drops,4,1
data/curated/electrical_fault/5-210571-A-38.wav,electrical_fault,clock_tick,5,0
data/curated/mechanical_fault/5-243773-A-44.wav,mechanical_fault,engine,5,2
data/curated/normal_operation/4-191687-A-0.wav,normal_operation,dog,4,3
data/curated/normal_operation/4-198360-A-49.wav,normal_operation,hand_saw,4,3
data/curated/electrical_fault/4-194711-A-38.wav,electrical_fault,clock_tick,4,0
data/curated/electrical_fault/5-212181-A-38.wav,electrical_fault,clock_tick,5,0
