Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763562734,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763562735,5,,Aggregated,0.000000,0.000000,25,30,31,31,37,37,37,37,37,37,37,7,0,25,27.36295257013158,19.9002499866765,36.90404098597355,224.0
1763562736,10,,Aggregated,0.000000,0.000000,25,31,37,39,49,55,55,55,55,55,55,17,0,25,30.084073706187638,15.783292008563876,54.63004202465527,224.0
1763562737,15,,Aggregated,5.000000,0.000000,27,34,37,39,47,53,55,55,55,55,55,32,0,26,28.996834656027204,8.449417015071958,54.63004202465527,224.0
1763562738,20,,Aggregated,8.500000,0.000000,24,31,34,37,45,49,55,55,55,55,55,50,0,23,25.787604221259244,7.288374996278435,54.63004202465527,224.0
1763562739,20,,Aggregated,9.333333,0.000000,20,25,31,33,42,47,53,55,55,55,55,70,0,19,22.144942928571254,7.288374996278435,54.63004202465527,224.0
1763562740,20,,Aggregated,9.333333,0.000000,17,23,27,31,37,45,53,55,55,55,55,82,0,17,20.98626430499901,7.288374996278435,54.63004202465527,224.0
1763562741,20,,Aggregated,13.000000,0.000000,17,21,24,30,37,45,53,55,55,55,55,100,0,17,20.00317758996971,7.288374996278435,54.63004202465527,224.0
1763562742,20,,Aggregated,13.666667,0.000000,17,20,22,25,35,42,49,53,55,55,55,115,0,17,19.262478347999327,7.288374996278435,54.63004202465527,224.0
1763562743,20,,Aggregated,13.714286,0.000000,17,20,21,24,33,42,49,53,55,55,55,133,0,17,18.874598767028953,7.288374996278435,54.63004202465527,224.0
1763562744,20,,Aggregated,13.750000,0.000000,16,20,21,23,32,39,49,53,55,55,55,147,0,16,18.390409640103048,7.288374996278435,54.63004202465527,224.0
1763562745,20,,Aggregated,14.222222,0.000000,17,20,21,24,32,39,47,53,55,55,55,165,0,17,18.621065194549207,7.288374996278435,54.63004202465527,224.0
1763562746,20,,Aggregated,14.500000,0.000000,16,20,21,23,32,37,47,53,55,55,55,181,0,16,18.0892138905921,7.288374996278435,54.63004202465527,224.0
1763562747,20,,Aggregated,15.700000,0.000000,16,20,21,23,31,37,47,53,55,55,55,195,0,16,17.93126049854506,7.288374996278435,54.63004202465527,224.0
1763562748,20,,Aggregated,16.300000,0.000000,16,19,21,22,31,37,45,49,55,55,55,213,0,16,17.595701315604202,7.159000000683591,54.63004202465527,224.0
1763562749,20,,Aggregated,16.300000,0.000000,16,20,21,23,31,35,45,49,55,55,55,226,0,16,17.86236469548884,7.159000000683591,54.63004202465527,224.0
1763562750,20,,Aggregated,16.100000,0.000000,16,20,21,23,31,35,45,49,55,55,55,245,0,16,17.81877859255622,7.159000000683591,54.63004202465527,224.0
1763562751,20,,Aggregated,15.900000,0.000000,16,20,21,23,31,35,42,49,55,55,55,257,0,16,17.721003592095848,7.159000000683591,54.63004202465527,224.0
1763562752,20,,Aggregated,15.900000,0.000000,16,19,21,23,31,35,42,49,55,55,55,275,0,16,17.649179422508247,7.159000000683591,54.63004202465527,224.0
1763562753,20,,Aggregated,15.800000,0.000000,16,20,21,23,31,34,42,49,55,55,55,292,0,16,17.71773175766599,7.159000000683591,54.63004202465527,224.0
1763562754,20,,Aggregated,16.000000,0.000000,16,19,21,22,31,33,42,47,55,55,55,307,0,16,17.60917646011811,7.159000000683591,54.63004202465527,224.0
1763562755,20,,Aggregated,15.900000,0.000000,16,19,21,22,30,33,42,47,55,55,55,324,0,16,17.469553898856113,7.159000000683591,54.63004202465527,224.0
1763562756,20,,Aggregated,16.000000,0.000000,16,19,21,22,31,35,42,47,55,55,55,343,0,16,17.63368430101101,7.159000000683591,54.63004202465527,224.0
1763562757,20,,Aggregated,15.700000,0.000000,16,19,21,22,31,35,39,47,55,55,55,360,0,16,17.558221659095985,7.159000000683591,54.63004202465527,224.0
1763562758,20,,Aggregated,15.700000,0.000000,16,19,21,22,31,35,39,47,55,55,55,379,0,16,17.42381564721448,7.159000000683591,54.63004202465527,224.0
1763562759,20,,Aggregated,16.600000,0.000000,16,19,21,22,31,35,39,47,55,55,55,394,0,16,17.43340864290039,7.159000000683591,54.63004202465527,224.0
